city,idx,name,img,w,h,ratio,bytes,page,credit,reason
turku,2,Aura Riverfront,images/landmarks/turku-aura-riverfront.webp,1200,422,2.844,130008,https://commons.wikimedia.org/wiki/File:Aurajoki_Turku_panorama.jpg,,ultra-wide
cabo-frio,9,Mirante do Pontal do Atalaia (Arraial do Cabo),images/landmarks/cabo-frio-mirante-pontal-do-atalaia.webp,1200,418,2.871,79350,https://commons.wikimedia.org/wiki/File:Praia_Brava_-_Pontal_do_Atalaia.jpg,,ultra-wide
niagara-falls,2,Niagara City Cruises (Voyage to the Falls),images/landmarks/niagara-falls-niagara-city-cruises-voyage-to-the-falls.webp,1200,418,2.871,45490,"https://commons.wikimedia.org/wiki/File:Hornblower_Niagara_Cruise_Approaching_Horseshoe_Falls,_Niagara_Falls,_Ontario_(29871587212).jpg",,ultra-wide
sihanoukville,5,Ochheuteal Beach,images/landmarks/sihanoukville-ochheuteal-beach.webp,1200,418,2.871,82720,"https://commons.wikimedia.org/wiki/File:Ochheuteal_Beach,_Sihanoukville.jpg",,ultra-wide
sihanoukville,7,Independence Beach,images/landmarks/sihanoukville-independence-beach.webp,1200,418,2.871,45908,https://commons.wikimedia.org/wiki/File:Independence_beach._Sihanoukville.jpg,,ultra-wide
zanzibar-city,1,Stone Town's Old Fort (Ngome Kongwe),images/landmarks/zanzibar-city-old-fort.webp,1200,418,2.871,117260,https://commons.wikimedia.org/wiki/File:Old_Fort_of_Zanzibar.jpg,,ultra-wide
encarnacion,6,San Roque González de Santa Cruz Bridge,images/landmarks/encarnacion-san-roque-gonzalez-de-santa-cruz-bridge.webp,1200,417,2.878,37318,https://commons.wikimedia.org/wiki/File:San_Roque_Gonz%C3%A1lez_de_Santa_Cruz_Bridge_7450.jpg,,ultra-wide
tampere,8,Rajaportti Sauna,images/landmarks/tampere-rajaportti-sauna.webp,1200,417,2.878,87274,https://commons.wikimedia.org/wiki/File:Rajaportin_sauna_pispala.jpg,,ultra-wide
porto-seguro,6,Arraial d'Ajuda,images/landmarks/porto-seguro-arraial-dajuda.webp,1200,416,2.885,84900,"https://commons.wikimedia.org/wiki/File:Arraial_d%27Ajuda_(Porto_Seguro),_Bahia,_Brazil.jpg",,ultra-wide
antwerp,1,Grote Markt,images/landmarks/antwerp-grote-markt.webp,1200,415,2.892,80320,https://commons.wikimedia.org/wiki/File:Grote_Markt_(Antwerpen).jpg,,ultra-wide
pretoria,9,Ditsong National Museum of Natural History,images/landmarks/pretoria-ditsong-museum.webp,1200,415,2.892,94468,https://commons.wikimedia.org/wiki/File:Transvaal_Museum.jpg,,ultra-wide
padang,3,Gunung Padang (Padang Hill),images/landmarks/padang-gunung-padang-hill.webp,1200,412,2.913,70648,https://commons.wikimedia.org/wiki/File:Padang_dari_Gunung_Padang_2.JPG,,ultra-wide
brussels,7,Cinquantenaire Arcade,images/landmarks/brussels-cinquantenaire-arcade.webp,1200,411,2.92,75672,https://en.wikipedia.org/wiki/Cinquantenaire,,ultra-wide
kerman,4,Kaluts of Shahdad (Lut Desert),images/landmarks/kerman-kaluts-of-shahdad.webp,1200,407,2.948,51846,https://commons.wikimedia.org/wiki/File:Kaluts_of_Shahdad.jpg,,ultra-wide
delhi,3,Humayun's Tomb,images/landmarks/delhi-humayuns-tomb.webp,1200,405,2.963,68372,"https://commons.wikimedia.org/wiki/File:Tomb_of_Humayun,_Delhi.jpg",,ultra-wide
pittsburgh,5,Mount Washington Overlook,images/landmarks/pittsburgh-mount-washington-overlook.webp,1200,405,2.963,105278,"https://commons.wikimedia.org/wiki/File:Pittsburgh_skyline_from_Mount_Washington,_2024-05-27,_01.jpg",,ultra-wide
yangshuo,4,Xianggong Hill,images/landmarks/yangshuo-xianggong-hill.webp,1024,343,2.985,31482,https://www.flickr.com/photos/67769030@N07/40916757694,Arian Zwegers (CC BY),ultra-wide
oslo,9,Akerselva River,images/landmarks/oslo-akerselva-river.webp,1200,400,3.0,99086,"https://commons.wikimedia.org/wiki/File:Akerselva_-_Oslo,_Norway_2020-08-03_(05).jpg",,ultra-wide
vladivostok,1,Russky Bridge,images/landmarks/vladivostok-russky-bridge.webp,1200,400,3.0,58358,https://commons.wikimedia.org/wiki/File:Russky_Bridge_(October_2024)-0_2.jpg,,ultra-wide
willemstad,8,Queen Juliana Bridge,images/landmarks/willemstad-queen-juliana-bridge.webp,1200,400,3.0,57490,"https://commons.wikimedia.org/wiki/File:Queen_Juliana_Bridge,_Willemstad,_Cura%C3%A7ao.jpg",,ultra-wide
durres,3,Durrës Beach,images/landmarks/durres-durres-beach.webp,1200,398,3.015,55578,https://commons.wikimedia.org/wiki/File:Durrës_beach_(by_Pudelek).JPG,,ultra-wide
dusseldorf,9,Hofgarten,images/landmarks/dusseldorf-hofgarten.webp,1200,395,3.038,167778,"https://commons.wikimedia.org/wiki/File:Düsseldorf_Hofgarten,_13._Mai_2021.jpg",,ultra-wide
batumi,5,Europe Square and the Medea Statue,images/landmarks/batumi-europe-square-medea-statue.webp,1200,394,3.046,78414,https://commons.wikimedia.org/wiki/File:1070_-_Kaukasus_2014_-_Georgien_-_Batumi_(17162956598).jpg,,ultra-wide
ohrid,7,Bay of Bones Museum,images/landmarks/ohrid-bay-of-bones-museum.webp,1200,391,3.069,70502,"https://commons.wikimedia.org/wiki/File:Museum_on_Water_2_(by_Pudelek),_Ohrid.JPG",,ultra-wide
amsterdam,8,Begijnhof,images/landmarks/amsterdam-begijnhof.webp,1200,388,3.093,113640,"https://commons.wikimedia.org/wiki/File:Amsterdam_(NL),_Begijnhof_--_2015_--_7215-8.jpg",,ultra-wide
