city,idx,name,img,w,h,ratio,page
mazatlan,4,Catedral Basílica de la Inmaculada Concepción,images/landmarks/mazatlan-catedral-basilica.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Catedral_Bas%C3%ADlica_de_la_Inmaculada_Concepci%C3%B3n_2012-09-08_18-20-27.jpg
mbabane,4,Mantenga Cultural Village,images/landmarks/mbabane-mantenga-cultural-village.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Mantenga_Swazi_Cultural_Village_(Swaziland)_(1).jpg
medellin,5,Palacio de la Cultura Rafael Uribe Uribe,images/landmarks/medellin-palacio-de-la-cultura-rafael-uribe-uribe.webp,1200,1600,0.75,"https://commons.wikimedia.org/wiki/File:Palacio_de_la_Cultura_Rafael_Uribe_Uribe,_vista_desde_estaci%C3%B3n_del_metro_Parque_Berr%C3%ADo..jpg"
memphis,8,Big River Crossing,images/landmarks/memphis-big-river-crossing.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Big_River_Crossing_03.jpg
memphis,9,Shelby Farms Park,images/landmarks/memphis-shelby-farms-park.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:ShelbyFarmsSign.jpg
mendoza,1,Cerro de la Gloria,images/landmarks/mendoza-cerro-de-la-gloria.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Mendoza_-_Cerro_de_la_Gloria_-_Monumento.jpg
merida,0,Plaza Grande,images/landmarks/merida-plaza-grande.webp,1200,1600,0.75,"https://commons.wikimedia.org/wiki/File:Merida,_Yucatan,_Mexico_-_Plaza_Grande,_6_Marzo_2021_-_01.jpg"
miami,8,Bayfront Park,images/landmarks/miami-bayfront-park.webp,1200,1600,0.75,"https://commons.wikimedia.org/wiki/File:Laser_Light_Tower_Bayfront_Park,_Miami_FL.jpg"
mingora,5,Fizagat Park,images/landmarks/mingora-fizagat-park.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Park_in_Swat_Valley_Pakistan.jpg
minneapolis,4,IDS Center,images/landmarks/minneapolis-ids-center.webp,1200,1600,0.75,"https://commons.wikimedia.org/wiki/File:IDS_Center,_October_2024.jpg"
